债券简称,债券代码,正股代码,上市时间,现价,今开,振幅,最高,最低,昨收,成交量,成交额
中环转债,123026,370692,2019-06-10T00:00:00,1162.22,1170.0,238.0%,1178.9,1151.0,1172.2,18912,22049052.0
和而转债,128068,072402,2019-06-04T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
三星转债,113536,754578,2019-05-31T00:00:00,116.73,118.06,279.0%,119.49,116.18,118.6,22281,26287469.0
大业转债,113535,754278,2019-05-09T00:00:00,103.22,104.15,134.0%,104.5,103.1,104.39,10168,10545419.0
一心转债,128067,072727,2019-04-19T00:00:00,1236.11,1250.3,219.0%,1257.6,1230.3,1248.9,48230,59710416.0
亚泰转债,128066,072811,2019-04-17T00:00:00,1120.4,1123.0,58.0%,1126.48,1120.0,1122.1,5603,6278178.0
永鼎转债,110058,733105,2019-04-16T00:00:00,111.01,111.51,161.0%,112.8,111.0,112.09,10694,11934651.0
雅化转债,128065,072497,2019-04-16T00:00:00,1151.7,1154.01,825.0%,1246.8,1151.4,1156.0,53160,62830363.0
创维转债,127013,070810,2019-04-15T00:00:00,456.0,0.0,0.0%,0.0,0.0,456.0,0,0.0
核能转债,113026,783985,2019-04-15T00:00:00,105.48,106.01,66.0%,106.01,105.31,106.01,10185,10753723.0
明泰转债,113025,783677,2019-04-10T00:00:00,112.52,112.48,45.0%,112.7,112.19,112.65,5528,6218949.0
鼎胜转债,113534,754876,2019-04-09T00:00:00,113.84,114.65,290.0%,115.95,112.62,114.65,7485,8502931.0
司尔转债,128064,072538,2019-04-08T00:00:00,1076.0,1088.5,765.0%,1155.6,1072.48,1086.66,151968,168382344.0
核建转债,113024,783611,2019-04-08T00:00:00,105.06,105.15,35.0%,105.15,104.78,105.08,4312,4528312.0
参林转债,113533,754233,2019-04-03T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
未来转债,128063,072631,2019-04-03T00:00:00,1141.9,1219.08,1481.0%,1310.0,1140.5,1144.64,339498,410848912.0
亚药转债,128062,072370,2019-04-02T00:00:00,902.21,910.09,104.0%,911.49,902.03,910.09,44781,40631757.0
海环转债,113532,754817,2019-04-02T00:00:00,107.9,108.0,77.0%,108.48,107.65,108.0,6132,6639226.0
现代转债,110057,733420,2019-04-01T00:00:00,121.69,124.2,402.0%,124.97,120.0,123.57,14023,17038618.0
精测转债,123025,370567,2019-03-29T00:00:00,1304.0,1335.0,366.0%,1349.8,1301.09,1330.5,48002,63500340.0
百姓转债,113531,754883,2019-03-29T00:00:00,138.42,141.0,410.0%,141.5,135.69,141.72,76182,104922690.0
大丰转债,113530,754081,2019-03-27T00:00:00,107.43,109.28,192.0%,109.28,107.2,108.14,5491,5919746.0
启明转债,128061,072439,2019-03-27T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
中装转债,128060,072822,2019-03-26T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
招路转债,127012,071965,2019-03-22T00:00:00,1075.03,1082.0,83.0%,1083.99,1075.0,1081.7,10114,10920838.0
岱勒转债,123024,370700,2019-03-21T00:00:00,1071.1,1088.0,246.0%,1091.98,1065.1,1091.98,12779,13772261.0
迪森转债,123023,370335,2019-03-20T00:00:00,1027.7,1033.82,71.0%,1034.98,1027.68,1034.07,4097,4231438.0
亨通转债,110056,733487,2019-03-19T00:00:00,124.0,125.4,283.0%,126.85,123.31,125.25,9900,12333823.0
通威转债,110054,733438,2019-03-18T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
长信转债,123022,370088,2019-03-18T00:00:00,1561.0,1577.4,436.0%,1598.9,1530.2,1577.4,14058,21920271.0
伊力转债,110055,733197,2019-03-15T00:00:00,110.89,111.02,75.0%,111.69,110.86,111.02,4885,5442181.0
苏银转债,110053,733919,2019-03-14T00:00:00,111.41,111.71,62.0%,111.98,111.29,111.71,95192,106093222.0
浙商转债,113022,783878,2019-03-12T00:00:00,113.82,114.46,82.0%,114.64,113.7,114.45,17134,19537202.0
绝味转债,113529,754517,2019-03-11T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
视源转债,128059,072841,2019-03-11T00:00:00,1244.32,1255.61,164.0%,1255.61,1234.97,1255.0,2344,2902325.0
中鼎转2,127011,070887,2019-03-08T00:00:00,1091.01,1109.0,178.0%,1109.7,1090.0,1107.0,105672,115779935.0
拓邦转债,128058,072139,2019-03-07T00:00:00,1221.0,1220.12,298.0%,1239.47,1203.0,1225.2,1091,1329062.0
贵广转债,110052,733996,2019-03-05T00:00:00,118.03,118.49,142.0%,118.88,117.2,118.51,3947,4642326.0
博彦转债,128057,072649,2019-03-05T00:00:00,1180.0,1194.01,185.0%,1200.1,1178.0,1194.0,3412,4040711.0
中信转债,113021,783998,2019-03-04T00:00:00,108.77,109.1,39.0%,109.12,108.7,109.0,34065,37123329.0
万信转2,123021,370168,2019-03-04T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
长城转债,113528,754897,2019-03-01T00:00:00,104.43,104.51,74.0%,105.19,104.41,104.77,10669,11172302.0
富祥转债,123020,370497,2019-03-01T00:00:00,2070.0,2161.0,1480.0%,2278.97,1960.01,2154.5,376344,811619040.0
中天转债,110051,733522,2019-02-28T00:00:00,123.88,124.21,198.0%,125.68,123.22,124.2,31722,39312408.0
今飞转债,128056,072863,2019-02-28T00:00:00,1094.1,1135.0,628.0%,1161.5,1090.06,1137.0,283590,318523984.0
长青转2,128055,072391,2019-02-27T00:00:00,0.0,0.0,0.0%,0.0,0.0,1161.0,0,0.0
中来转债,123019,370393,2019-02-25T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
中宠转债,128054,072891,2019-02-15T00:00:00,1208.5,1226.99,327.0%,1230.12,1190.2,1220.01,8748,10605879.0
尚荣转债,128053,072551,2019-02-14T00:00:00,2398.9,2664.0,1234.0%,2664.0,2335.8,2659.45,571464,1416483488.0
维格转债,113527,754518,2019-01-24T00:00:00,100.38,100.9,78.0%,100.9,100.11,100.9,5529,5552051.0
联泰转债,113526,754797,2019-01-23T00:00:00,154.03,167.0,1299.0%,167.0,145.2,167.81,178143,276482272.0
平银转债,127010,070001,2019-01-21T00:00:00,410.0,0.0,0.0%,0.0,0.0,410.0,0,0.0
冰轮转债,127009,070811,2019-01-14T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
凯龙转债,128052,072783,2018-12-21T00:00:00,3660.52,3534.28,2299.0%,3968.8,3230.21,3212.98,1269931,4765537280.0
溢利转债,123018,370381,2018-12-20T00:00:00,1474.0,1550.0,799.0%,1554.9,1432.21,1535.11,140627,208415264.0
佳都转债,110050,733728,2018-12-19T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
海尔转债,110049,733690,2018-12-18T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
台华转债,113525,754055,2018-12-17T00:00:00,108.03,108.38,90.0%,108.98,108.0,108.38,5937,6428287.0
奇精转债,113524,754677,2018-12-14T00:00:00,106.89,107.41,115.0%,107.83,106.6,107.4,5441,5840063.0
光华转债,128051,072741,2018-12-14T00:00:00,1137.0,1163.0,412.0%,1177.9,1130.0,1162.99,27807,31874961.0
钧达转债,128050,072865,2018-12-10T00:00:00,1130.5,1148.02,374.0%,1164.8,1121.88,1148.02,42127,48001200.0
伟明转债,113523,754568,2018-12-10T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
福能转债,110048,733483,2018-12-07T00:00:00,115.9,116.1,100.0%,117.04,115.88,116.25,2293,2668628.0
华源转债,128049,072787,2018-11-27T00:00:00,1131.1,1139.37,98.0%,1141.68,1130.5,1139.38,7044,7995443.0
旭升转债,113522,754305,2018-11-22T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
山鹰转债,110047,733567,2018-11-21T00:00:00,113.25,113.68,48.0%,113.69,113.15,113.65,11895,13477220.0
圆通转债,110046,733233,2018-11-20T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
寒锐转债,123017,370618,2018-11-20T00:00:00,1173.08,1184.9,487.0%,1229.0,1171.47,1181.0,48068,57657955.0
桐昆转债,113020,783233,2018-11-19T00:00:00,117.71,119.1,136.0%,119.12,117.5,119.1,2380,2808669.0
特发转债,127008,070070,2018-11-16T00:00:00,3500.0,3880.0,1769.0%,4100.0,3410.23,3900.0,890939,3443376736.0
科森转债,113521,754626,2018-11-16T00:00:00,130.05,132.76,446.0%,134.5,128.6,132.26,14438,18914674.0
张行转债,128048,072839,2018-11-12T00:00:00,1153.49,1151.9,45.0%,1155.23,1150.01,1152.0,6649,7669514.0
百合转债,113520,754313,2018-11-08T00:00:00,142.36,152.05,959.0%,152.85,138.33,151.44,72752,105557780.0
长久转债,113519,754569,2018-11-07T00:00:00,111.46,111.43,184.0%,112.88,110.83,111.44,4325,4834205.0
洲明转债,123016,370232,2018-11-07T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
光电转债,128047,072179,2018-11-05T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
