,债券简称,正股代码,上市时间,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
299,海直转债,99,2013-01-07T00:00:00,99,中信海直,6.73,2.77%,-0.13,160191,108200399.0,2.77%,6.87,6.68,6.72,6.86,2.92
300,南山转债,600219,2012-10-31T00:00:00,600219,南山铝业,2.07,0.96%,-0.01,167322,34609405.0,0.96%,2.08,2.06,2.08,2.08,1.04
301,南山转债,600219,2008-05-13T00:00:00,600219,南山铝业,2.07,0.96%,-0.01,167322,34609405.0,0.96%,2.08,2.06,2.08,2.08,1.04
302,重工转债,601989,2012-06-18T00:00:00,601989,中国重工,4.3,2.83%,0.06,798333,342008832.0,2.83%,4.35,4.23,4.25,4.24,3.49
303,恒丰转债,600356,2012-04-12T00:00:00,600356,恒丰纸业,6.55,0.91%,-0.04,6717,4404369.0,0.91%,6.6,6.54,6.6,6.59,0.92
304,国电转债,600795,2011-09-02T00:00:00,600795,国电电力,2.02,0.5%,0.0,124874,25133384.0,0.5%,2.02,2.01,2.02,2.02,0.34
305,08国电债,600795,2008-05-22T00:00:00,600795,国电电力,2.02,0.5%,0.0,124874,25133384.0,0.5%,2.02,2.01,2.02,2.02,0.34
306,中海转债,600026,2011-08-12T00:00:00,600026,中远海能,9.16,9.84%,0.32,396178,356919120.0,9.84%,9.37,8.5,8.6,8.84,2.18
307,中海转债,600026,2007-07-12T00:00:00,600026,中远海能,9.16,9.84%,0.32,396178,356919120.0,9.84%,9.37,8.5,8.6,8.84,2.18
308,巨轮转2,2031,2011-08-04T00:00:00,2031,巨轮智能,1.92,1.55%,-0.02,65053,12532352.0,1.55%,1.95,1.92,1.94,1.94,0.72
309,深机转债,89,2011-08-10T00:00:00,89,深圳机场,7.88,1.8%,0.1,67055,52669607.0,1.8%,7.92,7.78,7.79,7.78,1.49
310,石化转债,600028,2011-03-07T00:00:00,600028,中国石化,4.57,2.0%,0.06,846210,386217424.0,2.0%,4.61,4.52,4.52,4.51,1.56
311,石化转债,600028,2011-03-07T00:00:00,600028,中国石化,4.56,2.0%,0.05,846316,386265776.0,2.0%,4.61,4.52,4.52,4.51,1.56
312,08石化债,600028,2008-03-04T00:00:00,600028,中国石化,4.57,2.0%,0.06,846210,386217424.0,2.0%,4.61,4.52,4.52,4.51,1.56
313,08石化债,600028,2008-03-04T00:00:00,600028,中国石化,4.56,2.0%,0.05,846316,386265776.0,2.0%,4.61,4.52,4.52,4.51,1.56
314,海运转债,600798,2011-01-20T00:00:00,600798,宁波海运,3.22,4.09%,0.04,119088,38300589.0,4.09%,3.28,3.15,3.17,3.18,3.26
315,海运转债,600798,2011-01-20T00:00:00,600798,宁波海运,3.22,4.09%,0.04,119088,38300589.0,4.09%,3.28,3.15,3.17,3.18,3.26
316,歌华转债,600037,2010-12-10T00:00:00,600037,歌华有线,8.67,1.37%,-0.06,33869,29398853.0,1.37%,8.76,8.64,8.76,8.73,1.26
317,燕京转债,729,2010-11-03T00:00:00,729,燕京啤酒,5.95,2.19%,0.02,53879,32216951.0,2.19%,6.04,5.91,5.92,5.93,1.57
318,中行转债,601988,2010-06-18T00:00:00,601988,中国银行,3.45,1.98%,-0.08,1233617,426772208.0,1.98%,3.49,3.42,3.49,3.53,3.17
319,王府转债,600859,2009-10-30T00:00:00,600859,王府井,12.3,0.73%,0.0,9852,12103439.0,0.73%,12.33,12.24,12.32,12.3,0.79
320,王府转债,600859,2009-10-30T00:00:00,600859,王府井,12.3,0.73%,0.0,9859,12112049.0,0.73%,12.33,12.24,12.32,12.3,0.79
321,博汇转债,600966,2009-10-16T00:00:00,600966,博汇纸业,7.22,1.79%,-0.03,55605,40110712.0,1.79%,7.28,7.15,7.21,7.25,0.87
322,安泰转债,969,2009-10-12T00:00:00,969,安泰科技,5.83,2.04%,-0.06,39361,23001842.0,2.04%,5.91,5.79,5.9,5.89,1.28
323,龙盛转债,600352,2009-09-25T00:00:00,600352,浙江龙盛,11.94,1.74%,-0.14,210811,252798088.0,1.74%,12.12,11.91,12.0,12.08,1.25
